Url_Dashboard;Tipo_conexion;Desarrollador;Owner;Nombre Dashboard;Descripcion_larga;Descripcion_corta;Gerencia;Estado Publicacion;Origen_datos;Kpis_principales
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2048392/views;prodbox;Sergio Herrera;No Informado;Dashboard Ventas CND;No Informado;Indicadores de Cb commerce desde salesforce;Growth;Vigente - Actualizado;Sales Force;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2081680/views;prodbox;Sergio Herrera;No Informado;Inicios ATBV;No Informado;Seguimiento de las consultoras desde su etapa de registro y movimiento dentro de la compañia;Growth;Vigente - Actualizado;Lego;inicios | reinicios | recuperos | datos consultora | estado consultora
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2171845/views;token;Javier Gavilán;No Informado;Customer Care;No Informado;Dashboard que presenta los principales indicadores asociados a reclamos sac, clasificados por gerencia, sector, productos y nivel SPP de consultoras.;O&L;Vigente - Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2214673/views;;Equipo TD;No Informado;Dashboard Dominio de Datos;No Informado;Panel que muestra discovery colectivo de Databricks identificando origenes, campos, metadata y consultas SQL en contexto;Tecnología;Vigente - Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2228853/views;token;Javier Gavilán;No Informado;Dashboard Ley Rep;No Informado;Resumen mensual y anual de residuos generados por la venta de productos de Natura, clasificados según normativa Ley Rep.;Marketing & Comunicación;Vigente - No Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2228853/views;token;Sergio Herrera;No Informado;Dashboard Ciclo Abierto;No Informado;Analisis de los indicadores de venta directa por region, sector, bloque y lider.;Planeamiento Comercial;Vigente - Actualizado;No Informado;Facturacion | Activas | Disponibles
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2330265/views;token;Joshua González;No Informado;Omnicanalidad Cliente Identificado;No Informado;Seguimiento de clientes identificados para canales de Retail, Ecommerce y MercadoLibre;Omnicanalidad;No funciona;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2330267/views;token;Sergio Herrera;No Informado;Performance Marketing;No Informado;Detalle de productos en el canal venta directa por marca, categoria y comparativo contra años anteriores.;Marketing & Comunicación;Vigente - No Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2330267/views;token;Sergio Herrera;No Informado;Performance Omnicanalidad;No Informado;Analisis de venta d eproductos por canal, marca, categoria y otros indicadores.;Omnicanalidad;Vigente - No Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2373439/views;token;Joshua González;No Informado;One Page Operacional;No Informado;Monitoreo general de la salud de Natura con los principales indicadores de medición orientado a un seguimiento diario;Omnicanalidad;Vigente - No Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2435126/views;token;Joshua González;No Informado;One Page Estratégico;No Informado;Monitoreo general de la salud de Natura con los principales indicadores de medición en diversos cortes de periodos y comparativas;Omnicanalidad;Vigente - No Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2435167/views;prodbox;Sergio Herrera;No Informado;IAP Vision General;No Informado;Dashboard de IAP sin filtros de usuario para el analisis de PLCOM;Planeamiento Comercial;;No Informado;Puntaje Facturación | Puntaje CPV | Puntaje I3 | Puntaje Disponible…
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2470760/views;token;Javier Gavilán;No Informado;Retail;No Informado;Detalles de Receta Bruta y Receta Bruta Identificada para cada tienda.;Retail;Vigente - Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2473266/views;Google API;Javier Gavilán;No Informado;Dashboard Vacaciones RRHH;No Informado;Resumen mensual de vacaciones acumuladas por colaboradores de Natura, agrupados por Gerencia.;Recursos Humanos;Vigente - Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2575923/views;prodbox;Cristian Lopez;No Informado;Sell In;No Informado;Este dashboard muestra la evolución y desempeño del proceso de captación y su objetivo es monitorear ciclo a ciclo el comportamiento de las consultoras, identificar oportunidades de mejora y evaluar la efectividad de acciones por ciclo.;Growth;Vigente - Actualizado;No Informado;
https://prod-useast-a.online.tableau.com/#/site/onlinenaturaco/workbooks/2626657/views;token;Joshua González;No Informado;Creer para Ver;No Informado;Comparativa de ganancias y unidades de productos CPV vs Natura orientado a ciclos y líderes;Marketing & Comunicación;;No Informado;
